g1	g0	g2	g3	g6	g4	g9	g5	g7	g8	g12	g11	g14	g13	g15	g10	g19	g18	g17	g16	g20
Gelse-mpi.v2.1-MPIG000670	0.197434285540619	0.351518817338612	0.313757047948391	0.321197759543884	0.382778926593271	0.271732191668172	0.273407327569619	0.143810490017735	0.232243461997693	0.180193032356923	0.459010744706085	0.413973426208227	0.329509100399577	0.237123988605914	0	0.270425907543414	0	0.125853999075213	0.209153304842064	0.199918742199519	0.357982628491371
Gelse-mpi.v2.1-MPIG000680	0.628320397380143	1.61272453151295	1.35864921864841	1.13361545091928	1.13132650348561	0.497320088471206	0.668370379362585	0.963489658810656	0.719986278726212	1.56616589368671	0.49602637231816	0.95546223325559	0.962317260856374	1.31372194884069	0.838100463534021	1.10217156993054	0.572694491100877	0	1.3809576537613	0.525988359643019	0.432702326018342
Gelse-mpi.v2.1-MPIG000690	1.38087607953991	0.616594959394019	0.960483746453712	0.725704154955902	0.490557085666186	1.03079730222115	1.09769055576379	1.18487242407907	1.40043071638345	0.695802839309552	0.931561206272329	0.668073603268439	0.663898806708175	0.855581417932581	1.42634927784304	0.861229932964782	0.732353563755487	1.04966093380459	0.424062794102438	0.839128637608894	1.04738089916196
Gelse-mpi.v2.1-MPIG000700	0.662255344611294	0.156204537680726	0.337224765684878	0.301375545890155	0.15833022588896	0.322615935370926	0.591126730289219	0.408056922861056	0.599196983019195	0.1152661410249	0.41914210712421	0.0992192387381616	0.0348161548632998	0.132014891233032	0.305802274043331	0.158339621722915	0.616390128389933	0.209280648138619	0.297290027466338	0.527302110326992	0.189227632916454
Gelse-mpi.v2.1-MPIG000710	0.111922876889596	0	0.0899100234168567	0	0.0349863341427397	0	0.137988652031976	0.0919344796569027	0.329977028959262	0.0288618656258901	0.202766528717296	0.0250373597622963	0.208701932525177	0	0	0.0610009866601774	0	0	0.0889316550907824	0	0.47278023512207
Gelse-mpi.v2.1-MPIG000720	0.290758082564901	0.147595123999544	0.310367152641303	0.169683195251835	0.0681436676408846	0.110819371059011	0.19970507776148	0.330999875564616	0.374330006125215	0.097548823336889	0.16115359055893	0.188461294185985	0.137314337178125	0.145110254848103	0.248207753014449	0.446780575622161	0	0	0.123418427698054	0	0
Gelse-mpi.v2.1-MPIG000730	0	0.0621169053474615	0.0787758233869192	0.137413720512174	0.0412363867222931	0	0.0342212044345669	0	0.0333590530181281	0.123088892110322	0.153397491079909	0	0	0	0.140649288821384	0	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000740	0.986077646017906	0.199478246239196	0.65228208520635	0.390213326493793	0.299828899449652	0.485810551864503	0.554089059770637	0.589487139287017	0.610912533719089	0.250063043918032	0.589611526656857	0.316345931233736	0	0.216959645133206	0.712406216772474	0.35743362135768	0	0	0.217927520745914	0.320356892752887	0.34909279603026
Gelse-mpi.v2.1-MPIG000750	0.135773924011672	0.0948042402249027	0.137669599627736	0.0961026346302112	0.104510427504592	0.136419253643973	0.0793449910695111	0.12260058322003	0.09232637808362	0.0664161831986981	0.0811132547421305	0.0927757341437787	0	0	0	0.0911784273258507	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000760	0.718902621170791	1.13358097511942	0.938500254552925	0.629378015850802	0.573149645149258	0.859456304408521	0.650331294733178	0.941421553969891	0.656211172503658	0.764383906678333	0.367641356654981	1.00368276457572	1.36837349999375	0.588876398815467	1.11859800404193	0.875879842452358	0.172633423835756	0.452794590492182	0.830122999695934	1.09200459051713	0.934867442703584
Gelse-mpi.v2.1-MPIG000770	0.840254124727361	1.05493902667898	0.976276523865898	0.767335042514728	0.661360089644342	0.928092016483051	0.919440305842159	0.846608379400858	0.616946999868784	0.88288451846058	0.636048147699106	1.1629860656968	0.928228997166709	1.16631720163539	1.02059382814876	0.686216112634602	0.457752528723299	0.871803997522052	0.654288366749232	1.22205460045754	0.53464441075424
Gelse-mpi.v2.1-MPIG000780	0.0416539473675165	0.0598172049920163	0.0476986131447679	0.0775601539935344	0.0243923904450345	0.0561346782453055	0.0269244679884145	0.0658349472337232	0.0899091525390765	0.129705575045239	0.0500625072990693	0.40899260304274	0	0	0	0.0411948700737028	0	0	0.0893514910800074	0.378609302175046	0
Gelse-mpi.v2.1-MPIG000790	0.0903268889279943	0.0889241639099434	0.112923512065988	0.1536451588607	0.0677274193122546	0.131899320457127	0.105502206258769	0.14167740054308	0.105165934650984	0.0672418221157459	0	0.192450877639032	0.448109225250696	0	0	0.536965186741543	0	0	0	0	0
Gelse-mpi.v2.1-MPIG000800	0.255229348814775	0.13635229066448	0.110055629441484	0.226844568568083	0.316713837343602	0.162685747997823	0.239911520484391	0.128831107754483	0.171864270215083	0.149661418448305	0.110117297454039	0.155965666245569	0.683582550954815	0.156630096916376	0.163672370086179	0.620143852273914	1.05028700093086	0.57796465301017	0.0776546468371515	0.149351006087107	0.739184338542453
Gelse-mpi.v2.1-MPIG000810	0.339219860700275	0.401330646853189	0.35652175700155	0.320914259765093	0.188847783906079	0.448779561028482	0.254992356004048	0.526501911391471	0.356676365533788	0.405749856835547	0.200127900350484	0.482924487208861	0.93576576706078	0.136117850725317	0.290097983441762	0.340115716384419	0	0.237488111684459	0.235674310330528	0.0939313443925157	0
Gelse-mpi.v2.1-MPIG000830	0.430141290489691	0.864324365472376	0.522038462763081	0.622345033673313	0.735966601896901	0.674633249493676	0.479159205370733	0.525945926969203	0.426884470475222	0.625452822755061	0.336897750356583	0.673071117644006	0.870488981330913	0.697464294643518	0.421240811276076	0.590660295085963	0.776494043130609	0.98110321696262	0.829035601195176	0.341084085777449	0.729034160106901
